Date,Comment,tokens_stopword,clean_text
2026-03-21T04:33:56Z,"['sekolah', 'dan', 'jabatan', 'nyaa', 'bagus', 'tapi', 'pertanyaan', 'nyaa', 'memble', 'semua', 'cuma', 'mba', 'nana', 'yang', 'kritis']","['sekolah', 'jabatan', 'nyaa', 'bagus', 'pertanyaan', 'nyaa', 'memble', 'semua', 'cuma', 'mba', 'nana', 'kritis']",sekolah jabatan nyaa bagus pertanyaan nyaa memble semua cuma mba nana kritis
2026-03-21T04:32:04Z,"['mba', 'najwa', 'klau', 'bicara', 'panjang', 'kamu', 'mesjid', 'saja', 'kumpul', 'itu', 'haji', 'dan', 'ustadz', 'biar', 'bicara', 'dari', 'pagi', 'sampai', 'sore', 'itu', 'bpak', 'presiden', 'bukan', 'urus', 'kamu', 'saja', 'dia', 'bnyak', 'urusan']","['mba', 'najwa', 'klau', 'bicara', 'panjang', 'kamu', 'mesjid', 'kumpul', 'haji', 'ustadz', 'biar', 'bicara', 'pagi', 'sore', 'bpak', 'presiden', 'bukan', 'urus', 'kamu', 'bnyak', 'urusan']",mba najwa klau bicara panjang kamu mesjid kumpul haji ustadz biar bicara pagi sore bpak presiden bukan urus kamu bnyak urusan
2026-03-21T04:31:49Z,"['pak', 'prabowo', 'itu', 'orangnya', 'baik', 'orang', 'yang', 'disekitar', 'pak', 'prabowo', 'itu', 'yang', 'jahat', 'banget', 'semoga', 'pak', 'prabowo', 'bisa', 'menindak', 'orang', 'indonesia', 'yang', 'telah', 'menjajah', 'indonesia', 'sehat', 'pak', 'semoga', 'bapak', 'amanah', 'mengembaan', 'tugas', 'sebagai', 'walau', 'tidak', 'memilih', 'bapak', 'doa', 'terbaik', 'untuk', 'bapak', 'selalu', 'amanah']","['prabowo', 'orangnya', 'baik', 'orang', 'disekitar', 'prabowo', 'jahat', 'banget', 'semoga', 'prabowo', 'menindak', 'orang', 'indonesia', 'menjajah', 'indonesia', 'sehat', 'semoga', 'amanah', 'mengembaan', 'tugas', 'tidak', 'memilih', 'doa', 'terbaik', 'selalu', 'amanah']",prabowo orangnya baik orang disekitar prabowo jahat banget semoga prabowo menindak orang indonesia menjajah indonesia sehat semoga amanah mengembaan tugas tidak memilih doa terbaik selalu amanah
2026-03-21T04:31:16Z,"['omon', 'apa', 'yang', 'bicarakan', 'tidak', 'ada', 'yang', 'realisasikan']","['omon', 'apa', 'bicarakan', 'tidak', 'realisasikan']",omon apa bicarakan tidak realisasikan
2026-03-21T04:30:34Z,"['aki', 'jks', 'ikut', 'nyimak', 'bapak', 'presiden', 'yang', 'terhormat', 'sehat', 'sll', 'bersamayg', 'ada', 'meja', 'bundar', 'ini', 'sehat', 'sll', 'salam', 'bhineka', 'tunggal', 'ika']","['aki', 'jks', 'ikut', 'nyimak', 'presiden', 'terhormat', 'sehat', 'sll', 'bersamayg', 'meja', 'bundar', 'sehat', 'sll', 'salam', 'bhineka', 'tunggal', 'ika']",aki jks ikut nyimak presiden terhormat sehat sll bersamayg meja bundar sehat sll salam bhineka tunggal ika
2026-03-21T04:30:24Z,"['moderator', 'nya', 'nampak', 'banget', 'menjilat', 'president']","['moderator', 'nampak', 'banget', 'menjilat', 'president']",moderator nampak banget menjilat president
2026-03-21T04:30:21Z,"['bahkan', 'kami', 'tidak', 'mendapat', 'hasil', 'apa', 'pun', 'quot', 'atau', 'quot', 'kami', 'benar', 'benar', 'menderita', 'kerugian', 'quot', 'sesungguhnya', 'kami', 'menciptakan', 'mereka']","['bahkan', 'tidak', 'mendapat', 'hasil', 'apa', 'quot', 'quot', 'benar', 'benar', 'menderita', 'kerugian', 'quot', 'sesungguhnya', 'menciptakan']",bahkan tidak mendapat hasil apa quot quot benar benar menderita kerugian quot sesungguhnya menciptakan
2026-03-21T04:29:48Z,"['aduh', 'mantap', 'jgk', 'ternyata', 'presiden', 'kita', 'ini']","['aduh', 'mantap', 'jgk', 'ternyata', 'presiden']",aduh mantap jgk ternyata presiden
2026-03-21T04:29:39Z,"['tidak', 'ada', 'yang', 'ribut', 'mba', 'nadjwa', 'asal', 'bicara', 'ngawur', 'mba', 'nadjwa', 'ini']","['tidak', 'ribut', 'mba', 'nadjwa', 'asal', 'bicara', 'ngawur', 'mba', 'nadjwa']",tidak ribut mba nadjwa asal bicara ngawur mba nadjwa
2026-03-21T04:28:36Z,"['quot', 'bener', 'nggak', 'quot', 'nggak']","['quot', 'bener', 'quot']",quot bener quot
2026-03-21T04:27:10Z,"['baru', 'perkenalan', 'sudah', 'nampak', 'betul', 'kualitas', 'pewawancara', 'ini']","['baru', 'perkenalan', 'nampak', 'betul', 'kualitas', 'pewawancara']",baru perkenalan nampak betul kualitas pewawancara
2026-03-21T04:26:48Z,"['presiden', 'sensi', 'kaya', 'gini']","['presiden', 'sensi', 'kaya', 'gini']",presiden sensi kaya gini
2026-03-21T04:26:18Z,"['intinya', 'aja', 'sudah', 'apa', 'tidak', 'mau', 'denger', 'yang', 'kasar']","['intinya', 'aja', 'apa', 'tidak', 'mau', 'denger', 'kasar']",intinya aja apa tidak mau denger kasar
2026-03-21T04:23:47Z,"['kacau', 'ini', 'sudah', 'prabowo']","['kacau', 'prabowo']",kacau prabowo
2026-03-21T04:23:29Z,"['giliran', 'najwa', 'yang', 'tanya', 'dia', 'kayak', 'emosi', 'agak', 'laen', 'ini', 'mah', 'prabowo', 'makin', 'hari', 'makin', 'banyak', 'yang', 'lindungi', 'terutama', 'dari', 'kalangan', 'oknum', 'quot', 'nakal', 'bukan', 'singa', 'lagi', 'ini', 'tapi', 'kayak', 'kucing', 'yang', 'lagi', 'menutupi', 'jati', 'diri']","['giliran', 'najwa', 'tanya', 'kayak', 'emosi', 'laen', 'mah', 'prabowo', 'makin', 'hari', 'makin', 'banyak', 'lindungi', 'terutama', 'kalangan', 'oknum', 'quot', 'nakal', 'bukan', 'singa', 'kayak', 'kucing', 'menutupi', 'jati', 'diri']",giliran najwa tanya kayak emosi laen mah prabowo makin hari makin banyak lindungi terutama kalangan oknum quot nakal bukan singa kayak kucing menutupi jati diri
2026-03-21T04:22:36Z,"['apa', 'disini', 'cuman', 'gua', 'yang', 'mikir', 'knapa', 'orang', 'pling', 'kritis', 'pro', 'rakyat', 'saat', 'ini', 'mas', 'tyo', 'ketua', 'bem', 'ugm', 'tidak', 'undang']","['apa', 'disini', 'cuman', 'gua', 'mikir', 'knapa', 'orang', 'pling', 'kritis', 'pro', 'rakyat', 'mas', 'tyo', 'ketua', 'bem', 'ugm', 'tidak', 'undang']",apa disini cuman gua mikir knapa orang pling kritis pro rakyat mas tyo ketua bem ugm tidak undang
2026-03-21T04:21:37Z,"['mba', 'najwa', 'shihab', 'klau', 'bertanya', 'tolong', 'pakai', 'titik', 'dan', 'koma', 'jangan', 'asal', 'semprot', 'preseden', 'pun', 'punya', 'keterbatasan', 'dia', 'juga', 'cape', 'urus', 'bnyak', 'orang', 'jadi', 'sdikit', 'jangan', 'sudutkan', 'dia', 'bgitu', 'mba', 'nadjwa']","['mba', 'najwa', 'shihab', 'klau', 'bertanya', 'pakai', 'titik', 'koma', 'jangan', 'asal', 'semprot', 'preseden', 'punya', 'keterbatasan', 'cape', 'urus', 'bnyak', 'orang', 'sdikit', 'jangan', 'sudutkan', 'bgitu', 'mba', 'nadjwa']",mba najwa shihab klau bertanya pakai titik koma jangan asal semprot preseden punya keterbatasan cape urus bnyak orang sdikit jangan sudutkan bgitu mba nadjwa
